relative_path,size_bytes,sha256
FIRST5_COMPARISON_ALL.csv,99999,9a4766cbd02748a83e011fde9bf17fc905728f97e933255383e611ad38ab6ba4
QUICK_REPRODUCIBILITY_SUMMARY.json,6532,125852b653605c3f10a9a3a40c8248bfb726983a225a97a1f180f21d9d072d53
RUN_STATUS.json,304,4c83e399cccb17a4ae59d0b2e132d2744beeb575a0efcbf05f31b82c57d56b66
cace_preflight.log,4426,8b15a46a328ac9e07dca0855dd5d8b063640d86d66d7101d8b8ef95b3d550ab1
cace_runs/RUN_2026-07-28_21-02-59/error.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cace_runs/RUN_2026-07-28_21-02-59/flow.log,837,c1bfbb5df34af04d3ae3607beafa31176ff1e5e95ab4f5a2b8d7c2b8bce37a4d
cace_runs/RUN_2026-07-28_21-02-59/parameters/A44_PACKAGE_CACE_PREFLIGHT/run_0/.spiceinit,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
cace_runs/RUN_2026-07-28_21-02-59/parameters/A44_PACKAGE_CACE_PREFLIGHT/run_0/cace_job.sym,114,6fef9524fe7bcd801dd56eac3d76728ca2bd54febcddfb57d74fbf48a78ba9eb
cace_runs/RUN_2026-07-28_21-02-59/parameters/A44_PACKAGE_CACE_PREFLIGHT/run_0/conditions.yaml,245,b62a058c2aac85026d95fe31059eb4f9c9b86cdba3325eb10bc3f7b0aeafaf85
cace_runs/RUN_2026-07-28_21-02-59/parameters/A44_PACKAGE_CACE_PREFLIGHT/run_0/ngspice_stdout.out,671,0c12e844beb585cf1daa97166c854ed9ecd9ad00fbc751fdf9a4088aa7d55e60
cace_runs/RUN_2026-07-28_21-02-59/parameters/A44_PACKAGE_CACE_PREFLIGHT/run_0/tb_package_preflight.sch,750,30da6efc2bd67caf9d26dcf7e73999b80d1680fe1a78eeb0e021cd9d36b2b034
cace_runs/RUN_2026-07-28_21-02-59/parameters/A44_PACKAGE_CACE_PREFLIGHT/run_0/tb_package_preflight.spice,953,00fb9692bd37912e7960ad585ad52605d280ccbb980ea7a2663bb04817cdc1dc
cace_runs/RUN_2026-07-28_21-02-59/parameters/A44_PACKAGE_CACE_PREFLIGHT/run_0/tb_package_preflight_0.data,33,c7734a6d2fadd82ed27504b37bd142b0f99768fa90bac98a86656a9fa723718f
cace_runs/RUN_2026-07-28_21-02-59/parameters/A44_PACKAGE_CACE_PREFLIGHT/run_0/xschem_stderr.out,347,5a4ea2a9ddb7243de5daa8e7b920521accf523d57c076143646a3d662d850623
cace_runs/RUN_2026-07-28_21-02-59/parameters/A44_PACKAGE_CACE_PREFLIGHT/run_0/xschem_stdout.out,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
cace_runs/RUN_2026-07-28_21-02-59/parameters/A44_PACKAGE_CACE_PREFLIGHT/simulation_summary.csv,38,842b4c97ed07b2f304a75f339bc593c0cb12fe374725fd4f47ba2a7575f40772
cace_runs/RUN_2026-07-28_21-02-59/parameters/A44_PACKAGE_CACE_PREFLIGHT/simulation_summary.md,143,733df08ea4a41fd8a068b0d447d838c1f4fd7593f799085eb8e4d6b5cdedfd72
cace_runs/RUN_2026-07-28_21-02-59/parameters/A44_PACKAGE_CACE_PREFLIGHT/tb_package_preflight.sch,570,135fc105b6fb1c9f0829406ed84e53082c024589260d00ac8ad6ad962e804826
cace_runs/RUN_2026-07-28_21-02-59/summary.md,580,b083e63151db409eab31df7256eba9e036045de5c37e8fa77776072eaa81df5d
cace_runs/RUN_2026-07-28_21-02-59/warning.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
dynamic_mc200/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4/jobs/w4_first5.spice,27898,6c36ce597da71caeaa9f3e5ff9c23d94e12cf95e75c67fa01dcc30529d75ea66
dynamic_mc200/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4/logs/w4_first5.log,12326,f348becd6fe322802debbd244a5372852cddc334138d938e4d6c0cc286fe3836
dynamic_mc200/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4/jobs/w4_first5.spice,27887,e153a6a947c1c5d8a172024d5f4b0ec68705aa14bcd4882c98252f60cf705f11
dynamic_mc200/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4/logs/w4_first5.log,12326,0f3efcf9dd51f5024166f97663165d5bca63b046f8d6d367af7368c08c924238
dynamic_mc200/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4/jobs/w4_first5.spice,27862,0947ba1156dd52e231c1083eb875e481f7e7f89326056ed890e7195cd67c8f48
dynamic_mc200/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4/logs/w4_first5.log,12330,8228b3a5182b772b7887119b8badc6b9f01d5fda79241b4dbf0e2e46b185db57
dynamic_mc200/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4/jobs/w4_first5.spice,27897,c97f5892fa5e6b2ace4419d4c8bc6202da911300ed99daae2574682a9aa908ca
dynamic_mc200/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4/logs/w4_first5.log,12333,47580b482bf970f582c24927fbd253beb48b3ac34b417c3aa88d1b95d19a3a75
dynamic_mc200/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S005_LOW_W4/jobs/w4_first5.spice,27880,0631aeb431421c8dee53c8c4a314bb6553db7698c7a58e422a9031eeba21b12a
dynamic_mc200/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S005_LOW_W4/logs/w4_first5.log,12328,f8de37e7d805833673a51d86af1a6d60827bfe39a4e6330453bc9a303656fc7b
dynamic_mc200/dynamic_first5_comparison.csv,18872,8a9b702e80f3352df50b4b1da3e057eae330d990fa66d35496c123edbf3f2d06
dynamic_mc200/dynamic_first5_summary.json,682,88ccef5eb868b593ce9f5824e290b055f985c16af429934a0d12535b307d9674
dynamic_pvt3_mc20/P4_PVT_TT_MC20_LOW/PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S021_LOW_W4/jobs/w4_first5.spice,29417,104ea7330fc5e1d377a076cadb2f94a1e1f59c09c16c7a203f93cdc4d5e4f53c
